LocationTime,Location,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($)
BRA-1996,BRA,Brazil,1996,male,15-24 ,1164,16172705,7.2,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,female,75+ ,52,1426991,3.64,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,female,55-74 ,202,7790591,2.59,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,female,35-54 ,448,17981388,2.49,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,female,15-24 ,347,15978838,2.17,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,female,25-34 ,299,13851001,2.16,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,male,5-14 ,70,18270623,0.38,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,female,5-14 ,50,17684630,0.28,"850,426,432,992",5771
BRA-1997,BRA,Brazil,1997,male,75+ ,219,915653,23.92,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,male,55-74 ,895,6842729,13.08,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,male,35-54 ,1856,17744763,10.46,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,male,25-34 ,1349,13664422,9.87,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,male,15-24 ,1102,16523208,6.67,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,female,75+ ,44,1503183,2.93,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,female,35-54 ,507,18634217,2.72,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,female,55-74 ,202,8017560,2.52,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,female,25-34 ,282,13987171,2.02,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,female,15-24 ,327,16301577,2.01,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,female,5-14 ,55,17600190,0.31,"883,199,625,325",5891
BRA-1997,BRA,Brazil,1997,male,5-14 ,53,18197954,0.29,"883,199,625,325",5891
BRA-1998,BRA,Brazil,1998,male,75+ ,217,968599,22.4,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,male,55-74 ,931,7040369,13.22,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,male,35-54 ,1902,18361729,10.36,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,male,25-34 ,1288,13787276,9.34,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,male,15-24 ,1089,16881408,6.45,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,female,75+ ,55,1580747,3.48,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,female,55-74 ,197,8252694,2.39,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,female,35-54 ,458,19311067,2.37,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,female,25-34 ,324,14109075,2.3,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,female,15-24 ,364,16629063,2.19,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,male,5-14 ,50,18105835,0.28,"863,723,411,633",5663
BRA-1998,BRA,Brazil,1998,female,5-14 ,47,17496449,0.27,"863,723,411,633",5663
BRA-1999,BRA,Brazil,1999,male,75+ ,214,1022378,20.93,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,male,55-74 ,818,7252947,11.28,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,male,35-54 ,1897,18977263,10.0,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,male,25-34 ,1199,13927042,8.61,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,male,15-24 ,1103,17212692,6.41,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,female,55-74 ,188,8504649,2.21,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,female,35-54 ,426,19987055,2.13,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,female,75+ ,35,1662705,2.11,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,female,25-34 ,259,14242229,1.82,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,female,15-24 ,281,16927682,1.66,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,male,5-14 ,50,18012783,0.28,"599,388,579,986",3864
BRA-1999,BRA,Brazil,1999,female,5-14 ,37,17392648,0.21,"599,388,579,986",3864
BRA-2000,BRA,Brazil,2000,male,75+ ,215,1077633,19.95,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,male,55-74 ,900,7486883,12.02,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,male,35-54 ,1989,19576126,10.16,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,male,25-34 ,1200,14100257,8.51,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,male,15-24 ,1037,17494250,5.93,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,female,75+ ,45,1750820,2.57,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,female,55-74 ,220,8779652,2.51,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,female,35-54 ,456,20645897,2.21,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,female,15-24 ,345,17175577,2.01,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,female,25-34 ,271,14403448,1.88,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,female,5-14 ,43,17298023,0.25,"655,420,645,477",4156
BRA-2000,BRA,Brazil,2000,male,5-14 ,42,17927425,0.23,"655,420,645,477",4156
BRA-2001,BRA,Brazil,2001,male,75+ ,244,1162417,20.99,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,male,55-74 ,964,7721938,12.48,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,male,35-54 ,2227,20128463,11.06,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,male,25-34 ,1398,14294493,9.78,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,male,15-24 ,1262,17698960,7.13,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,female,35-54 ,578,21260886,2.72,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,female,55-74 ,206,9044684,2.28,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,female,15-24 ,393,17361833,2.26,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,female,75+ ,41,1866958,2.2,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,female,25-34 ,286,14578443,1.96,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,male,5-14 ,58,17846905,0.32,"559,372,276,082",3492
BRA-2001,BRA,Brazil,2001,female,5-14 ,53,17212816,0.31,"559,372,276,082",3492
BRA-2002,BRA,Brazil,2002,male,75+ ,219,1249499,17.53,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,male,55-74 ,937,7980513,11.74,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,male,35-54 ,2178,20679204,10.53,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,male,25-34 ,1388,14524576,9.56,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,male,15-24 ,1226,17863758,6.86,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,female,75+ ,62,1988353,3.12,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,female,35-54 ,607,21872177,2.78,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,female,55-74 ,225,9337808,2.41,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,female,15-24 ,411,17507998,2.35,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,female,25-34 ,334,14784790,2.26,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,female,5-14 ,55,17166101,0.32,"507,962,487,700",3121
BRA-2002,BRA,Brazil,2002,male,5-14 ,55,17806637,0.31,"507,962,487,700",3121
BRA-2003,BRA,Brazil,2003,male,75+ ,220,1335479,16.47,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,male,55-74 ,1002,8263894,12.13,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,male,35-54 ,2299,21219095,10.83,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,male,25-34 ,1394,14785559,9.43,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,male,15-24 ,1259,17983317,7.0,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,female,35-54 ,559,22469397,2.49,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,female,75+ ,51,2111283,2.42,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,female,15-24 ,413,17607810,2.35,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,female,55-74 ,212,9660156,2.19,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,female,25-34 ,325,15019057,2.16,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,male,5-14 ,60,17794355,0.34,"558,319,920,832",3376
BRA-2003,BRA,Brazil,2003,female,5-14 ,45,17147509,0.26,"558,319,920,832",3376
BRA-2004,BRA,Brazil,2004,male,75+ ,270,1415780,19.07,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,male,55-74 ,994,8573117,11.59,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,male,35-54 ,2230,21738104,10.26,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,male,25-34 ,1475,15070514,9.79,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,male,15-24 ,1275,18054195,7.06,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,female,35-54 ,606,23041317,2.63,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,female,55-74 ,237,10012930,2.37,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,female,75+ ,51,2230220,2.29,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,female,15-24 ,403,17657631,2.28,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,female,25-34 ,347,15276057,2.27,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,female,5-14 ,59,17135875,0.34,"669,316,654,017",3984
BRA-2004,BRA,Brazil,2004,male,5-14 ,48,17787328,0.27,"669,316,654,017",3984
BRA-2005,BRA,Brazil,2005,male,75+ ,297,1488505,19.95,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,male,55-74 ,1175,8908847,13.19,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,male,35-54 ,2490,22232378,11.2,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,male,25-34 ,1464,15374079,9.52,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,male,15-24 ,1247,18077858,6.9,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,female,35-54 ,664,23583263,2.82,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,female,55-74 ,259,10396739,2.49,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,female,25-34 ,369,15551589,2.37,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,female,15-24 ,405,17659079,2.29,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,female,75+ ,53,2343149,2.26,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,female,5-14 ,54,17107519,0.32,"891,630,175,813",5230
BRA-2005,BRA,Brazil,2005,male,5-14 ,52,17760955,0.29,"891,630,175,813",5230
BRA-2006,BRA,Brazil,2006,male,75+ ,275,1575798,17.45,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,male,55-74 ,1112,9247477,12.02,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,male,35-54 ,2536,22709135,11.17,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,male,25-34 ,1537,15717099,9.78,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,male,15-24 ,1293,18063460,7.16,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,female,35-54 ,708,24105759,2.94,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,female,55-74 ,265,10786642,2.46,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,female,15-24 ,387,17631557,2.19,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,female,25-34 ,333,15862415,2.1,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,female,75+ ,47,2466737,1.91,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,male,5-14 ,64,17731288,0.36,"1,107,640,297,890",6403
BRA-2006,BRA,Brazil,2006,female,5-14 ,61,17077355,0.36,"1,107,640,297,890",6403
BRA-2007,BRA,Brazil,2007,male,75+ ,305,1654216,18.44,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,male,55-74 ,1220,9611434,12.69,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,male,35-54 ,2516,23156759,10.87,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,male,25-34 ,1609,16075775,10.01,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,male,15-24 ,1267,17991928,7.04,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,female,35-54 ,723,24591528,2.94,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,female,55-74 ,275,11208413,2.45,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,female,25-34 ,392,16189977,2.42,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,female,15-24 ,379,17547530,2.16,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,female,75+ ,51,2581330,1.98,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,male,5-14 ,67,17669069,0.38,"1,397,084,345,950",7970
BRA-2007,BRA,Brazil,2007,female,5-14 ,51,17015233,0.3,"1,397,084,345,950",7970
BRA-2008,BRA,Brazil,2008,male,75+ ,318,1728094,18.4,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,male,55-74 ,1204,9996938,12.04,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,male,35-54 ,2608,23591045,11.06,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,male,25-34 ,1706,16430646,10.38,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,male,15-24 ,1375,17889839,7.69,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,female,35-54 ,745,25056164,2.97,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,female,55-74 ,309,11656750,2.65,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,female,15-24 ,398,17432076,2.28,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,female,25-34 ,365,16515414,2.21,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,female,75+ ,52,2693428,1.93,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,male,5-14 ,55,17566837,0.31,"1,695,824,571,927",9555
BRA-2008,BRA,Brazil,2008,female,5-14 ,49,16914401,0.29,"1,695,824,571,927",9555
BRA-2009,BRA,Brazil,2009,male,75+ ,295,1803127,16.36,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,male,55-74 ,1271,10398573,12.22,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,male,35-54 ,2737,24035191,11.39,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,male,25-34 ,1838,16753314,10.97,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,male,15-24 ,1270,17794434,7.14,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,female,35-54 ,768,25523153,3.01,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,female,55-74 ,301,12124076,2.48,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,female,25-34 ,351,16810330,2.09,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,female,75+ ,58,2811556,2.06,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,female,15-24 ,343,17321655,1.98,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,male,5-14 ,62,17421892,0.36,"1,667,019,780,934",9283
BRA-2009,BRA,Brazil,2009,female,5-14 ,52,16772250,0.31,"1,667,019,780,934",9283
BRA-2010,BRA,Brazil,2010,male,75+ ,358,1882113,19.02,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,male,55-74 ,1236,10813388,11.43,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,male,25-34 ,1832,17023785,10.76,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,male,35-54 ,2586,24501254,10.55,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,male,15-24 ,1288,17726866,7.27,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,female,35-54 ,835,26004856,3.21,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,female,55-74 ,339,12605588,2.69,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,female,75+ ,79,2940677,2.69,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,female,25-34 ,404,17054489,2.37,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,female,15-24 ,368,17237481,2.13,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,male,5-14 ,56,17242386,0.32,"2,208,871,646,203",12161
BRA-2010,BRA,Brazil,2010,female,5-14 ,48,16596829,0.29,"2,208,871,646,203",12161
BRA-2011,BRA,Brazil,2011,male,75+ ,352,2002447,17.58,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,male,55-74 ,1323,11208705,11.8,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,male,25-34 ,1907,17249585,11.06,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,male,35-54 ,2754,24975171,11.03,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,male,15-24 ,1335,17674787,7.55,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,female,35-54 ,805,26488792,3.04,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,female,55-74 ,352,13063915,2.69,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,female,15-24 ,413,17180849,2.4,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,female,25-34 ,400,17253232,2.32,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,female,75+ ,71,3110432,2.28,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,male,5-14 ,63,17044425,0.37,"2,616,201,578,192",14245
BRA-2011,BRA,Brazil,2011,female,5-14 ,47,16404101,0.29,"2,616,201,578,192",14245
BRA-2012,BRA,Brazil,2012,male,75+ ,376,2123165,17.71,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,male,55-74 ,1458,11612925,12.55,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,male,35-54 ,2885,25463652,11.33,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,male,25-34 ,1930,17418954,11.08,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,male,15-24 ,1313,17644319,7.44,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,female,35-54 ,877,26979566,3.25,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,female,55-74 ,418,13532752,3.09,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,female,25-34 ,455,17398447,2.62,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,female,75+ ,80,3285641,2.43,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,female,15-24 ,383,17145894,2.23,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,male,5-14 ,79,16810876,0.47,"2,465,188,674,415",13283
BRA-2012,BRA,Brazil,2012,female,5-14 ,41,16175024,0.25,"2,465,188,674,415",13283
BRA-2013,BRA,Brazil,2013,male,75+ ,370,2240434,16.51,"2,472,806,919,902",13191
BRA-2013,BRA,Brazil,2013,male,55-74 ,1474,12036068,12.25,"2,472,806,919,902",13191
BRA-2013,BRA,Brazil,2013,male,35-54 ,3053,25965164,11.76,"2,472,806,919,902",13191
