LocationTime,LOCATION,INDICATOR,TIME,Value
CAN-2001,CAN,POVERTY,2001,0.147
CAN-2002,CAN,POVERTY,2002,0.154
CAN-2003,CAN,POVERTY,2003,0.156
CAN-2004,CAN,POVERTY,2004,0.166
CAN-2005,CAN,POVERTY,2005,0.15
CAN-2006,CAN,POVERTY,2006,0.162
CAN-2007,CAN,POVERTY,2007,0.168
CAN-2008,CAN,POVERTY,2008,0.156
CAN-2009,CAN,POVERTY,2009,0.163
CAN-2010,CAN,POVERTY,2010,0.157
CAN-2011,CAN,POVERTY,2011,0.157
CAN-2012,CAN,POVERTY,2012,0.167
CAN-2013,CAN,POVERTY,2013,0.169
CAN-2014,CAN,POVERTY,2014,0.149
CAN-2015,CAN,POVERTY,2015,0.17
CAN-2016,CAN,POVERTY,2016,0.141
CAN-2017,CAN,POVERTY,2017,0.114
CAN-2018,CAN,POVERTY,2018,0.114
CAN-2019,CAN,POVERTY,2019,0.109
CAN-2020,CAN,POVERTY,2020,0.073
CAN-1990,CAN,POVERTY,1990,0.119
CAN-1991,CAN,POVERTY,1991,0.118
CAN-1992,CAN,POVERTY,1992,0.121
CAN-1993,CAN,POVERTY,1993,0.119
CAN-1994,CAN,POVERTY,1994,0.117
CAN-1995,CAN,POVERTY,1995,0.118
CAN-1996,CAN,POVERTY,1996,0.124
CAN-1997,CAN,POVERTY,1997,0.125
CAN-1998,CAN,POVERTY,1998,0.124
CAN-1999,CAN,POVERTY,1999,0.117
CAN-2000,CAN,POVERTY,2000,0.12
CAN-2001,CAN,POVERTY,2001,0.117
CAN-2002,CAN,POVERTY,2002,0.123
CAN-2003,CAN,POVERTY,2003,0.124
CAN-2004,CAN,POVERTY,2004,0.129
CAN-2005,CAN,POVERTY,2005,0.123
CAN-2006,CAN,POVERTY,2006,0.129
CAN-2007,CAN,POVERTY,2007,0.129
CAN-2008,CAN,POVERTY,2008,0.127
CAN-2009,CAN,POVERTY,2009,0.134
CAN-2010,CAN,POVERTY,2010,0.131
CAN-2011,CAN,POVERTY,2011,0.131
CAN-2012,CAN,POVERTY,2012,0.133
CAN-2013,CAN,POVERTY,2013,0.132
CAN-2014,CAN,POVERTY,2014,0.126
CAN-2015,CAN,POVERTY,2015,0.141
CAN-2016,CAN,POVERTY,2016,0.124
CAN-2017,CAN,POVERTY,2017,0.12
CAN-2018,CAN,POVERTY,2018,0.118
CAN-2019,CAN,POVERTY,2019,0.115
CAN-2020,CAN,POVERTY,2020,0.086
CAN-1990,CAN,POVERTY,1990,0.11
CAN-1991,CAN,POVERTY,1991,0.115
CAN-1992,CAN,POVERTY,1992,0.121
CAN-1993,CAN,POVERTY,1993,0.114
CAN-1994,CAN,POVERTY,1994,0.118
CAN-1995,CAN,POVERTY,1995,0.118
CAN-1996,CAN,POVERTY,1996,0.121
CAN-1997,CAN,POVERTY,1997,0.126
CAN-1998,CAN,POVERTY,1998,0.124
CAN-1999,CAN,POVERTY,1999,0.119
CAN-2000,CAN,POVERTY,2000,0.122
CAN-2001,CAN,POVERTY,2001,0.118
CAN-2002,CAN,POVERTY,2002,0.124
CAN-2003,CAN,POVERTY,2003,0.125
CAN-2004,CAN,POVERTY,2004,0.129
CAN-2005,CAN,POVERTY,2005,0.124
CAN-2006,CAN,POVERTY,2006,0.128
CAN-2007,CAN,POVERTY,2007,0.126
CAN-2008,CAN,POVERTY,2008,0.124
CAN-2009,CAN,POVERTY,2009,0.133
CAN-2010,CAN,POVERTY,2010,0.13
CAN-2011,CAN,POVERTY,2011,0.129
CAN-2012,CAN,POVERTY,2012,0.132
CAN-2013,CAN,POVERTY,2013,0.131
CAN-2014,CAN,POVERTY,2014,0.127
CAN-2015,CAN,POVERTY,2015,0.14
CAN-2016,CAN,POVERTY,2016,0.122
CAN-2017,CAN,POVERTY,2017,0.121
CAN-2018,CAN,POVERTY,2018,0.118
CAN-2019,CAN,POVERTY,2019,0.114
CAN-2020,CAN,POVERTY,2020,0.081
CZE-2004,CZE,POVERTY,2004,0.102
CZE-2005,CZE,POVERTY,2005,0.096
CZE-2006,CZE,POVERTY,2006,0.097
CZE-2007,CZE,POVERTY,2007,0.087
CZE-2008,CZE,POVERTY,2008,0.093
CZE-2009,CZE,POVERTY,2009,0.107
CZE-2010,CZE,POVERTY,2010,0.106
CZE-2011,CZE,POVERTY,2011,0.096
CZE-2012,CZE,POVERTY,2012,0.082
CZE-2013,CZE,POVERTY,2013,0.101
CZE-2014,CZE,POVERTY,2014,0.102
CZE-2015,CZE,POVERTY,2015,0.104
CZE-2016,CZE,POVERTY,2016,0.085
CZE-2017,CZE,POVERTY,2017,0.068
CZE-2018,CZE,POVERTY,2018,0.064
CZE-2019,CZE,POVERTY,2019,0.071
CZE-2004,CZE,POVERTY,2004,0.058
CZE-2005,CZE,POVERTY,2005,0.055
CZE-2006,CZE,POVERTY,2006,0.056
CZE-2007,CZE,POVERTY,2007,0.055
CZE-2008,CZE,POVERTY,2008,0.059
CZE-2009,CZE,POVERTY,2009,0.06
CZE-2010,CZE,POVERTY,2010,0.065
CZE-2011,CZE,POVERTY,2011,0.059
CZE-2012,CZE,POVERTY,2012,0.052
CZE-2013,CZE,POVERTY,2013,0.059
CZE-2014,CZE,POVERTY,2014,0.059
CZE-2015,CZE,POVERTY,2015,0.064
CZE-2016,CZE,POVERTY,2016,0.056
CZE-2017,CZE,POVERTY,2017,0.056
CZE-2018,CZE,POVERTY,2018,0.061
CZE-2019,CZE,POVERTY,2019,0.056
CZE-2004,CZE,POVERTY,2004,0.052
CZE-2005,CZE,POVERTY,2005,0.049
CZE-2006,CZE,POVERTY,2006,0.05
CZE-2007,CZE,POVERTY,2007,0.049
CZE-2008,CZE,POVERTY,2008,0.052
CZE-2009,CZE,POVERTY,2009,0.054
CZE-2010,CZE,POVERTY,2010,0.06
CZE-2011,CZE,POVERTY,2011,0.057
CZE-2012,CZE,POVERTY,2012,0.05
CZE-2013,CZE,POVERTY,2013,0.055
CZE-2014,CZE,POVERTY,2014,0.053
CZE-2015,CZE,POVERTY,2015,0.058
CZE-2016,CZE,POVERTY,2016,0.05
CZE-2017,CZE,POVERTY,2017,0.047
CZE-2018,CZE,POVERTY,2018,0.048
CZE-2019,CZE,POVERTY,2019,0.043
DNK-2011,DNK,POVERTY,2011,0.035
DNK-2012,DNK,POVERTY,2012,0.027
DNK-2013,DNK,POVERTY,2013,0.027
DNK-2014,DNK,POVERTY,2014,0.029
DNK-2015,DNK,POVERTY,2015,0.029
DNK-2016,DNK,POVERTY,2016,0.037
DNK-2017,DNK,POVERTY,2017,0.047
DNK-2018,DNK,POVERTY,2018,0.049
DNK-2019,DNK,POVERTY,2019,0.048
DNK-2011,DNK,POVERTY,2011,0.058
DNK-2012,DNK,POVERTY,2012,0.054
DNK-2013,DNK,POVERTY,2013,0.054
DNK-2014,DNK,POVERTY,2014,0.055
DNK-2015,DNK,POVERTY,2015,0.055
DNK-2016,DNK,POVERTY,2016,0.058
DNK-2017,DNK,POVERTY,2017,0.061
DNK-2018,DNK,POVERTY,2018,0.064
DNK-2019,DNK,POVERTY,2019,0.065
DNK-2011,DNK,POVERTY,2011,0.066
DNK-2012,DNK,POVERTY,2012,0.065
DNK-2013,DNK,POVERTY,2013,0.067
DNK-2014,DNK,POVERTY,2014,0.07
DNK-2015,DNK,POVERTY,2015,0.07
DNK-2016,DNK,POVERTY,2016,0.073
DNK-2017,DNK,POVERTY,2017,0.075
DNK-2018,DNK,POVERTY,2018,0.077
DNK-2019,DNK,POVERTY,2019,0.077
FIN-1990,FIN,POVERTY,1990,0.019
FIN-1991,FIN,POVERTY,1991,0.023
FIN-1992,FIN,POVERTY,1992,0.026
FIN-1993,FIN,POVERTY,1993,0.026
FIN-1994,FIN,POVERTY,1994,0.023
FIN-1995,FIN,POVERTY,1995,0.02
FIN-1996,FIN,POVERTY,1996,0.021
FIN-1997,FIN,POVERTY,1997,0.027
FIN-1998,FIN,POVERTY,1998,0.027
FIN-1999,FIN,POVERTY,1999,0.031
FIN-2000,FIN,POVERTY,2000,0.03
FIN-2001,FIN,POVERTY,2001,0.04
FIN-2002,FIN,POVERTY,2002,0.042
FIN-2003,FIN,POVERTY,2003,0.04
FIN-2004,FIN,POVERTY,2004,0.038
FIN-2005,FIN,POVERTY,2005,0.034
FIN-2006,FIN,POVERTY,2006,0.039
FIN-2007,FIN,POVERTY,2007,0.052
FIN-2008,FIN,POVERTY,2008,0.052
FIN-2009,FIN,POVERTY,2009,0.044
FIN-2010,FIN,POVERTY,2010,0.039
FIN-2011,FIN,POVERTY,2011,0.04
FIN-2012,FIN,POVERTY,2012,0.029
FIN-2013,FIN,POVERTY,2013,0.046
FIN-2014,FIN,POVERTY,2014,0.036
FIN-2015,FIN,POVERTY,2015,0.037
FIN-2016,FIN,POVERTY,2016,0.033
FIN-2017,FIN,POVERTY,2017,0.036
FIN-2018,FIN,POVERTY,2018,0.035
FIN-2019,FIN,POVERTY,2019,0.037
FIN-2020,FIN,POVERTY,2020,0.024
FIN-1990,FIN,POVERTY,1990,0.056
FIN-1991,FIN,POVERTY,1991,0.054
FIN-1992,FIN,POVERTY,1992,0.05
FIN-1993,FIN,POVERTY,1993,0.042
FIN-1994,FIN,POVERTY,1994,0.042
FIN-1995,FIN,POVERTY,1995,0.042
FIN-1996,FIN,POVERTY,1996,0.046
FIN-1997,FIN,POVERTY,1997,0.048
FIN-1998,FIN,POVERTY,1998,0.05
FIN-1999,FIN,POVERTY,1999,0.052
FIN-2000,FIN,POVERTY,2000,0.053
FIN-2001,FIN,POVERTY,2001,0.063
FIN-2002,FIN,POVERTY,2002,0.062
FIN-2003,FIN,POVERTY,2003,0.056
FIN-2004,FIN,POVERTY,2004,0.065
FIN-2005,FIN,POVERTY,2005,0.066
FIN-2006,FIN,POVERTY,2006,0.069
FIN-2007,FIN,POVERTY,2007,0.078
FIN-2008,FIN,POVERTY,2008,0.079
FIN-2009,FIN,POVERTY,2009,0.074
FIN-2010,FIN,POVERTY,2010,0.072
FIN-2011,FIN,POVERTY,2011,0.075
FIN-2012,FIN,POVERTY,2012,0.065
FIN-2013,FIN,POVERTY,2013,0.071
FIN-2014,FIN,POVERTY,2014,0.068
FIN-2015,FIN,POVERTY,2015,0.063
FIN-2016,FIN,POVERTY,2016,0.058
FIN-2017,FIN,POVERTY,2017,0.063
FIN-2018,FIN,POVERTY,2018,0.065
FIN-2019,FIN,POVERTY,2019,0.064
FIN-2020,FIN,POVERTY,2020,0.057
FIN-1990,FIN,POVERTY,1990,0.047
FIN-1991,FIN,POVERTY,1991,0.052
FIN-1992,FIN,POVERTY,1992,0.05
FIN-1993,FIN,POVERTY,1993,0.046
FIN-1994,FIN,POVERTY,1994,0.048
FIN-1995,FIN,POVERTY,1995,0.047
FIN-1996,FIN,POVERTY,1996,0.051
FIN-1997,FIN,POVERTY,1997,0.051
FIN-1998,FIN,POVERTY,1998,0.053
FIN-1999,FIN,POVERTY,1999,0.054
FIN-2000,FIN,POVERTY,2000,0.055
FIN-2001,FIN,POVERTY,2001,0.066
FIN-2002,FIN,POVERTY,2002,0.065
FIN-2003,FIN,POVERTY,2003,0.055
FIN-2004,FIN,POVERTY,2004,0.065
FIN-2005,FIN,POVERTY,2005,0.066
FIN-2006,FIN,POVERTY,2006,0.071
FIN-2007,FIN,POVERTY,2007,0.073
FIN-2008,FIN,POVERTY,2008,0.076
FIN-2009,FIN,POVERTY,2009,0.076
FIN-2010,FIN,POVERTY,2010,0.077
FIN-2011,FIN,POVERTY,2011,0.078
FIN-2012,FIN,POVERTY,2012,0.07
FIN-2013,FIN,POVERTY,2013,0.078
FIN-2014,FIN,POVERTY,2014,0.079
FIN-2015,FIN,POVERTY,2015,0.075
FIN-2016,FIN,POVERTY,2016,0.068
FIN-2017,FIN,POVERTY,2017,0.072
FIN-2018,FIN,POVERTY,2018,0.072
FIN-2019,FIN,POVERTY,2019,0.069
FIN-2020,FIN,POVERTY,2020,0.063
FRA-2012,FRA,POVERTY,2012,0.12
FRA-2013,FRA,POVERTY,2013,0.114
FRA-2014,FRA,POVERTY,2014,0.115
FRA-2015,FRA,POVERTY,2015,0.113
FRA-2016,FRA,POVERTY,2016,0.115
FRA-2017,FRA,POVERTY,2017,0.112
FRA-2018,FRA,POVERTY,2018,0.117
FRA-2019,FRA,POVERTY,2019,0.117
FRA-2012,FRA,POVERTY,2012,0.085
FRA-2013,FRA,POVERTY,2013,0.079
FRA-2014,FRA,POVERTY,2014,0.081
FRA-2015,FRA,POVERTY,2015,0.081
FRA-2016,FRA,POVERTY,2016,0.083
FRA-2017,FRA,POVERTY,2017,0.081
FRA-2018,FRA,POVERTY,2018,0.085
FRA-2019,FRA,POVERTY,2019,0.084
FRA-2012,FRA,POVERTY,2012,0.086
FRA-2013,FRA,POVERTY,2013,0.078
FRA-2014,FRA,POVERTY,2014,0.082
FRA-2015,FRA,POVERTY,2015,0.083
FRA-2016,FRA,POVERTY,2016,0.085
FRA-2017,FRA,POVERTY,2017,0.083
FRA-2018,FRA,POVERTY,2018,0.086
FRA-2019,FRA,POVERTY,2019,0.085
DEU-2008,DEU,POVERTY,2008,0.084
DEU-2011,DEU,POVERTY,2011,0.08
DEU-2012,DEU,POVERTY,2012,0.074
DEU-2013,DEU,POVERTY,2013,0.098
DEU-2014,DEU,POVERTY,2014,0.095
DEU-2015,DEU,POVERTY,2015,0.112
DEU-2016,DEU,POVERTY,2016,0.123
DEU-2017,DEU,POVERTY,2017,0.113
DEU-2018,DEU,POVERTY,2018,0.111
DEU-2019,DEU,POVERTY,2019,0.117
DEU-2008,DEU,POVERTY,2008,0.09
DEU-2011,DEU,POVERTY,2011,0.087
DEU-2012,DEU,POVERTY,2012,0.084
DEU-2013,DEU,POVERTY,2013,0.091
DEU-2014,DEU,POVERTY,2014,0.095
DEU-2015,DEU,POVERTY,2015,0.101
DEU-2016,DEU,POVERTY,2016,0.104
DEU-2017,DEU,POVERTY,2017,0.104
DEU-2018,DEU,POVERTY,2018,0.098
DEU-2019,DEU,POVERTY,2019,0.109
DEU-2008,DEU,POVERTY,2008,0.085
DEU-2011,DEU,POVERTY,2011,0.087
DEU-2012,DEU,POVERTY,2012,0.083
DEU-2013,DEU,POVERTY,2013,0.091
DEU-2014,DEU,POVERTY,2014,0.095
DEU-2015,DEU,POVERTY,2015,0.1
DEU-2016,DEU,POVERTY,2016,0.102
DEU-2017,DEU,POVERTY,2017,0.102
DEU-2018,DEU,POVERTY,2018,0.097
DEU-2019,DEU,POVERTY,2019,0.107
GRC-2004,GRC,POVERTY,2004,0.125
GRC-2005,GRC,POVERTY,2005,0.143
GRC-2006,GRC,POVERTY,2006,0.152
GRC-2007,GRC,POVERTY,2007,0.156
GRC-2008,GRC,POVERTY,2008,0.161
GRC-2009,GRC,POVERTY,2009,0.156
GRC-2010,GRC,POVERTY,2010,0.156
GRC-2011,GRC,POVERTY,2011,0.201
GRC-2012,GRC,POVERTY,2012,0.208
GRC-2013,GRC,POVERTY,2013,0.188
GRC-2014,GRC,POVERTY,2014,0.191
GRC-2015,GRC,POVERTY,2015,0.189
GRC-2016,GRC,POVERTY,2016,0.176
GRC-2017,GRC,POVERTY,2017,0.159
GRC-2018,GRC,POVERTY,2018,0.139
GRC-2019,GRC,POVERTY,2019,0.144
GRC-2004,GRC,POVERTY,2004,0.12
GRC-2005,GRC,POVERTY,2005,0.129
GRC-2006,GRC,POVERTY,2006,0.127
GRC-2007,GRC,POVERTY,2007,0.132
GRC-2008,GRC,POVERTY,2008,0.129
GRC-2009,GRC,POVERTY,2009,0.129
GRC-2010,GRC,POVERTY,2010,0.141
GRC-2011,GRC,POVERTY,2011,0.151
GRC-2012,GRC,POVERTY,2012,0.149
GRC-2013,GRC,POVERTY,2013,0.151
GRC-2014,GRC,POVERTY,2014,0.148
GRC-2015,GRC,POVERTY,2015,0.149
GRC-2016,GRC,POVERTY,2016,0.144
GRC-2017,GRC,POVERTY,2017,0.126
GRC-2018,GRC,POVERTY,2018,0.121
GRC-2019,GRC,POVERTY,2019,0.115
GRC-2004,GRC,POVERTY,2004,0.101
GRC-2005,GRC,POVERTY,2005,0.112
GRC-2006,GRC,POVERTY,2006,0.114
GRC-2007,GRC,POVERTY,2007,0.123
GRC-2008,GRC,POVERTY,2008,0.119
GRC-2009,GRC,POVERTY,2009,0.121
GRC-2010,GRC,POVERTY,2010,0.132
GRC-2011,GRC,POVERTY,2011,0.158
GRC-2012,GRC,POVERTY,2012,0.158
GRC-2013,GRC,POVERTY,2013,0.161
GRC-2014,GRC,POVERTY,2014,0.156
GRC-2015,GRC,POVERTY,2015,0.161
GRC-2016,GRC,POVERTY,2016,0.156
GRC-2017,GRC,POVERTY,2017,0.135
GRC-2018,GRC,POVERTY,2018,0.131
GRC-2019,GRC,POVERTY,2019,0.122
HUN-2006,HUN,POVERTY,2006,0.106
HUN-2007,HUN,POVERTY,2007,0.101
HUN-2008,HUN,POVERTY,2008,0.092
HUN-2009,HUN,POVERTY,2009,0.097
HUN-2010,HUN,POVERTY,2010,0.121
HUN-2011,HUN,POVERTY,2011,0.124
HUN-2012,HUN,POVERTY,2012,0.125
HUN-2013,HUN,POVERTY,2013,0.143
HUN-2014,HUN,POVERTY,2014,0.132
HUN-2015,HUN,POVERTY,2015,0.105
HUN-2016,HUN,POVERTY,2016,0.079
HUN-2017,HUN,POVERTY,2017,0.099
HUN-2018,HUN,POVERTY,2018,0.086
HUN-2019,HUN,POVERTY,2019,0.084
HUN-2006,HUN,POVERTY,2006,0.072
HUN-2007,HUN,POVERTY,2007,0.065
HUN-2008,HUN,POVERTY,2008,0.059
HUN-2009,HUN,POVERTY,2009,0.061
HUN-2010,HUN,POVERTY,2010,0.073
HUN-2011,HUN,POVERTY,2011,0.077
HUN-2012,HUN,POVERTY,2012,0.085
HUN-2013,HUN,POVERTY,2013,0.086
HUN-2014,HUN,POVERTY,2014,0.087
HUN-2015,HUN,POVERTY,2015,0.085
HUN-2016,HUN,POVERTY,2016,0.077
HUN-2017,HUN,POVERTY,2017,0.08
HUN-2018,HUN,POVERTY,2018,0.087
HUN-2019,HUN,POVERTY,2019,0.092
HUN-2006,HUN,POVERTY,2006,0.068
HUN-2007,HUN,POVERTY,2007,0.063
HUN-2008,HUN,POVERTY,2008,0.058
HUN-2009,HUN,POVERTY,2009,0.06
HUN-2010,HUN,POVERTY,2010,0.073
HUN-2011,HUN,POVERTY,2011,0.076
HUN-2012,HUN,POVERTY,2012,0.09
HUN-2013,HUN,POVERTY,2013,0.086
HUN-2014,HUN,POVERTY,2014,0.09
HUN-2015,HUN,POVERTY,2015,0.09
HUN-2016,HUN,POVERTY,2016,0.083
HUN-2017,HUN,POVERTY,2017,0.084
HUN-2018,HUN,POVERTY,2018,0.096
HUN-2019,HUN,POVERTY,2019,0.084
ISL-2004,ISL,POVERTY,2004,0.059
ISL-2005,ISL,POVERTY,2005,0.077
ISL-2006,ISL,POVERTY,2006,0.064
ISL-2007,ISL,POVERTY,2007,0.069
ISL-2008,ISL,POVERTY,2008,0.058
ISL-2009,ISL,POVERTY,2009,0.076
ISL-2010,ISL,POVERTY,2010,0.078
ISL-2011,ISL,POVERTY,2011,0.076
ISL-2012,ISL,POVERTY,2012,0.081
ISL-2013,ISL,POVERTY,2013,0.055
ISL-2014,ISL,POVERTY,2014,0.073
ISL-2015,ISL,POVERTY,2015,0.059
ISL-2016,ISL,POVERTY,2016,0.065
ISL-2017,ISL,POVERTY,2017,0.054
ISL-2004,ISL,POVERTY,2004,0.058
ISL-2005,ISL,POVERTY,2005,0.063
ISL-2006,ISL,POVERTY,2006,0.057
ISL-2007,ISL,POVERTY,2007,0.066
ISL-2008,ISL,POVERTY,2008,0.066
ISL-2009,ISL,POVERTY,2009,0.062
ISL-2010,ISL,POVERTY,2010,0.066
ISL-2011,ISL,POVERTY,2011,0.058
ISL-2012,ISL,POVERTY,2012,0.061
ISL-2013,ISL,POVERTY,2013,0.045
ISL-2014,ISL,POVERTY,2014,0.067
ISL-2015,ISL,POVERTY,2015,0.054
ISL-2016,ISL,POVERTY,2016,0.06
ISL-2017,ISL,POVERTY,2017,0.049
ISL-2004,ISL,POVERTY,2004,0.061
ISL-2005,ISL,POVERTY,2005,0.059
ISL-2006,ISL,POVERTY,2006,0.051
ISL-2007,ISL,POVERTY,2007,0.058
ISL-2008,ISL,POVERTY,2008,0.068
ISL-2009,ISL,POVERTY,2009,0.062
ISL-2010,ISL,POVERTY,2010,0.068
ISL-2011,ISL,POVERTY,2011,0.056
ISL-2012,ISL,POVERTY,2012,0.059
ISL-2013,ISL,POVERTY,2013,0.045
ISL-2014,ISL,POVERTY,2014,0.065
ISL-2015,ISL,POVERTY,2015,0.057
ISL-2016,ISL,POVERTY,2016,0.061
ISL-2017,ISL,POVERTY,2017,0.05
IRL-2004,IRL,POVERTY,2004,0.157
IRL-2005,IRL,POVERTY,2005,0.139
IRL-2006,IRL,POVERTY,2006,0.126
IRL-2007,IRL,POVERTY,2007,0.107
IRL-2008,IRL,POVERTY,2008,0.118
IRL-2009,IRL,POVERTY,2009,0.105
IRL-2010,IRL,POVERTY,2010,0.1
IRL-2011,IRL,POVERTY,2011,0.108
IRL-2012,IRL,POVERTY,2012,0.099
IRL-2013,IRL,POVERTY,2013,0.101
IRL-2014,IRL,POVERTY,2014,0.093
IRL-2015,IRL,POVERTY,2015,0.111
IRL-2016,IRL,POVERTY,2016,0.1
IRL-2017,IRL,POVERTY,2017,0.086
IRL-2018,IRL,POVERTY,2018,0.08
IRL-2004,IRL,POVERTY,2004,0.134
IRL-2005,IRL,POVERTY,2005,0.116
IRL-2006,IRL,POVERTY,2006,0.114
IRL-2007,IRL,POVERTY,2007,0.096
IRL-2008,IRL,POVERTY,2008,0.091
IRL-2009,IRL,POVERTY,2009,0.088
IRL-2010,IRL,POVERTY,2010,0.091
IRL-2011,IRL,POVERTY,2011,0.1
IRL-2012,IRL,POVERTY,2012,0.094
IRL-2013,IRL,POVERTY,2013,0.095
IRL-2014,IRL,POVERTY,2014,0.093
IRL-2015,IRL,POVERTY,2015,0.098
IRL-2016,IRL,POVERTY,2016,0.091
IRL-2017,IRL,POVERTY,2017,0.09
IRL-2018,IRL,POVERTY,2018,0.074
IRL-2004,IRL,POVERTY,2004,0.107
IRL-2005,IRL,POVERTY,2005,0.094
IRL-2006,IRL,POVERTY,2006,0.094
IRL-2007,IRL,POVERTY,2007,0.088
IRL-2008,IRL,POVERTY,2008,0.079
IRL-2009,IRL,POVERTY,2009,0.084
IRL-2010,IRL,POVERTY,2010,0.09
IRL-2011,IRL,POVERTY,2011,0.098
IRL-2012,IRL,POVERTY,2012,0.096
IRL-2013,IRL,POVERTY,2013,0.096
IRL-2014,IRL,POVERTY,2014,0.097
IRL-2015,IRL,POVERTY,2015,0.099
IRL-2016,IRL,POVERTY,2016,0.094
IRL-2017,IRL,POVERTY,2017,0.086
IRL-2018,IRL,POVERTY,2018,0.07
ITA-2004,ITA,POVERTY,2004,0.157
ITA-2005,ITA,POVERTY,2005,0.16
ITA-2006,ITA,POVERTY,2006,0.155
ITA-2007,ITA,POVERTY,2007,0.155
ITA-2008,ITA,POVERTY,2008,0.161
ITA-2009,ITA,POVERTY,2009,0.171
ITA-2010,ITA,POVERTY,2010,0.18
ITA-2011,ITA,POVERTY,2011,0.178
ITA-2012,ITA,POVERTY,2012,0.177
ITA-2013,ITA,POVERTY,2013,0.177
ITA-2014,ITA,POVERTY,2014,0.193
ITA-2015,ITA,POVERTY,2015,0.183
ITA-2016,ITA,POVERTY,2016,0.173
ITA-2017,ITA,POVERTY,2017,0.187
ITA-2018,ITA,POVERTY,2018,0.18
ITA-2004,ITA,POVERTY,2004,0.122
ITA-2005,ITA,POVERTY,2005,0.126
ITA-2006,ITA,POVERTY,2006,0.123
ITA-2007,ITA,POVERTY,2007,0.119
ITA-2008,ITA,POVERTY,2008,0.119
ITA-2009,ITA,POVERTY,2009,0.12
ITA-2010,ITA,POVERTY,2010,0.134
ITA-2011,ITA,POVERTY,2011,0.128
ITA-2012,ITA,POVERTY,2012,0.13
ITA-2013,ITA,POVERTY,2013,0.133
ITA-2014,ITA,POVERTY,2014,0.137
ITA-2015,ITA,POVERTY,2015,0.144
ITA-2016,ITA,POVERTY,2016,0.137
ITA-2017,ITA,POVERTY,2017,0.139
