LocationTime,Suicide_val_TOT,Alcohol_val,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY,obesity_val,Poverty_Value_0_17,Poverty_Value_18_65,Poverty_Value_66MORE,Poverty_Value_TOT,smoking_val,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP,Social_spt_val,Work_Hour_Value_TOT
ARG-2001,10,0,0,0.0,0.0,0.0,0,29.733,15.971,8.372,24.453,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2002,10,0,0,0.0,0.0,0.0,0,29.297,16.106,7.393,24.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2003,10,0,0,0.0,0.0,0.0,0,29.2535,15.099,6.895,24.194000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2004,9,0,51,16.711861,32.082676,0.0,0,27.784,14.8135,7.229,25.8305,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2005,9,0,50,17.471054,32.370968,0.0,0,27.6785,17.7925,7.611,26.127,0.0,0.0,0.0,0.0,0,37.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2006,8,0,48,17.830963,33.696232,0.0,0,28.312,17.4435,7.64,25.508000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2007,8,0,0,0.0,0.0,0.0,0,29.2945,16.8685,7.835,24.623,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2008,8,0,45,18.973812,35.221363,0.0,0,29.8045,16.369,8.183,24.287,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2009,7,0,44,19.518599,35.687149,0.0,0,32.8275,14.3315,9.456,21.9005,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2010,7,8,43,20.111586,36.519707,0.0,0,32.28,14.655,9.445,22.443,0.0,0.0,0.0,0.0,0,34.2,0.0,0.0,0.0,0.0,0,0,0
ARG-2011,7,7,42,20.237337,37.009579,0.0,0,33.0395,14.713,9.418,21.6695,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2012,8,8,41,20.556126,38.027462,0.0,0,34.332,14.3255,9.827,20.5815,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2013,7,8,40,21.056189,38.308643,0.0,0,35.1515,14.72,9.781,19.739,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2014,8,7,41,20.534544,38.217319,0.0,0,36.068000000000005,14.828500000000002,9.671,18.7675,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2015,7,8,0,0.0,0.0,0.0,0,36.925,14.2925,10.229,18.1895,0.0,0.0,0.0,0.0,0,31.7,0.0,0.0,0.0,0.0,0,0,0
ARG-2016,7,8,0,0.0,0.0,0.0,0,34.017,16.1155,9.002,20.484,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2017,7,8,38,21.406713,40.064892,0.0,0,35.1365,14.2695,10.442,20.0845,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2018,8,8,36,21.924601,41.104233,0.0,0,33.8345,15.205,9.666,20.999,0.0,0.0,0.0,0.0,0,30.3,0.0,0.0,0.0,0.0,0,0,0
ARG-2019,7,8,35,22.811752,41.416943,0.0,0,34.2795,15.1445,9.51,20.4755,0.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0.0,0,0,0
AUS-1990,13,10,0,0.0,0.0,68.37136,7858,280.8006666666667,72.06666666666666,586.364,143.44199999999998,0.0,0.0,0.0,0.0,0,0.0,1.096,13.141,3928.253,0.0,0,0,1853
AUS-1991,13,10,44,31.15881,24.714134,65.9215,7670,295.156,78.417,620.568,151.88899999999998,0.0,0.0,0.0,0.0,0,0.0,1.204,14.306,4239.755,0.0,0,0,1854
AUS-1992,13,9,0,0.0,0.0,64.93269,7634,309.9916666666667,84.08666666666666,656.182,160.79633333333334,0.0,0.0,0.0,0.0,0,26.0,1.236,15.285,4659.895,0.0,0,0,1845
AUS-1993,12,10,47,22.469191,30.371763,64.61858,7653,323.949,88.67566666666666,690.0245,169.40066666666667,0.0,0.0,0.0,0.0,0,0.0,1.397,15.545,4884.162,0.0,0,0,1855
AUS-1994,13,10,49,23.072365,27.12561,66.00251,7899,341.0713333333333,93.99466666666666,730.721,179.40966666666668,0.0,0.0,0.0,0.0,0,0.0,1.419,15.271,4934.387,0.0,0,0,1874
AUS-1995,12,9,44,24.315445,30.748701,67.62838,8188,363.76933333333335,92.57766666666669,772.196,184.3613333333333,59.2,0.0,0.0,0.0,0,24.1,3.295,16.913,5614.113,15.995,19,0,1870
AUS-1996,13,10,0,0.0,0.0,67.66373,8298,383.9443333333333,104.29466666666669,825.0145,199.39866666666668,0.0,0.0,0.0,0.0,0,0.0,3.526,17.028,5805.342,0.0,0,0,1861
AUS-1997,14,10,46,24.30127,29.003454,67.36479,8366,411.7436666666667,109.298,867.4309999999999,199.87733333333333,0.0,0.0,0.0,0.0,0,0.0,3.858,16.786,5920.537,15.924,19,0,1860
AUS-1998,14,10,43,25.420708,30.623333,67.80048,8517,439.7536666666667,136.62566666666666,923.222,209.061,0.0,0.0,0.0,0.0,0,22.1,3.538,17.61,6461.523,0.0,0,0,1849
AUS-1999,13,10,42,26.693399,30.696516,68.23203,8672,479.57366666666667,136.02133333333333,982.1105,208.5,0.0,0.0,0.0,0.0,0,0.0,4.025,17.239,6502.822,16.492,20,0,1856
AUS-2000,12,10,41,27.475746,31.311945,69.09614,8901,515.3246666666666,158.241,1080.446,238.306,0.0,0.0,0.0,0.0,0,0.0,3.717,18.244,6934.889,0.0,0,0,1852
AUS-2001,12,10,41,28.977322,29.946537,69.00098,9015,541.682,163.40133333333333,1149.1865,257.77566666666667,50.0,0.0,0.0,0.0,0,19.6,4.01,17.539,6845.28,16.946,20,0,1828
AUS-2002,12,10,39,30.759785,30.189898,69.35914,9190,592.222,171.904,1244.462,270.7526666666667,0.0,0.0,0.0,0.0,0,0.0,3.96,17.348,6893.75,0.0,0,0,1817
AUS-2003,11,10,37,31.314152,31.166031,70.01125,9396,609.409,171.47299999999998,1293.2959999999998,286.12166666666667,0.0,0.0,0.0,0.0,0,0.0,3.486,17.546,7172.538,16.887,19,0,1806
AUS-2004,10,10,35,30.82308,33.297886,70.29926,9558,666.6413333333334,187.46133333333333,1413.1135000000002,308.76733333333334,53.5,0.0,0.0,0.0,0,17.8,2.743,17.238,7194.949,0.0,0,0,1811
AUS-2006,10,10,33,33.022213,33.687943,72.12262,10124,706.8393333333333,204.36533333333333,1502.1885000000002,327.9533333333333,0.0,0.0,0.0,0.0,0,0.0,2.878,15.713,6823.445,0.0,0,0,1802
AUS-2007,10,10,31,33.73671,34.44656,72.80006,10434,764.207,209.5283333333333,1603.948,338.4243333333333,61.2,0.0,0.0,0.0,0,16.9,5.18,15.873,7015.665,15.611,20,0,1803
AUS-2008,11,10,30,36.149986,33.785992,73.20431,10731,795.4126666666667,219.51166666666668,1679.1989999999998,357.3866666666666,0.0,0.0,0.0,0.0,0,0.0,4.437,17.051,7529.935,0.0,0,0,1799
AUS-2009,10,10,28,36.881355,34.146122,72.05107,10805,814.547,223.95866666666663,1713.1925,360.9143333333333,0.0,0.0,0.0,0.0,0,0.0,4.324,16.869,7448.41,16.622,20,0,1766
AUS-2010,11,10,26,37.604309,35.602947,72.37024,11022,846.931,243.69433333333333,1800.909,387.0083333333334,0.0,0.0,0.0,0.0,0,15.3,4.336,16.561,7377.086,0.0,0,92,1777
AUS-2011,10,10,25,38.342072,35.735386,72.65694,11213,903.8483333333334,250.37,1908.826,402.03566666666666,63.4,0.0,0.0,0.0,0,0.0,4.624,17.015,7767.754,16.805,20,92,1773
AUS-2012,11,10,23,41.282364,35.154247,72.34558,11350,892.1176666666667,263.3233333333333,1931.4325,428.8373333333333,0.0,0.129,0.107,0.335,0,0.0,4.843,17.302,7962.334,0.0,0,92,1770
AUS-2013,11,9,24,39.539928,36.17564,71.97044,11456,908.8433333333334,273.15566666666666,2048.3,490.023,0.0,0.0,0.0,0.0,0,13.0,5.42,17.247,7999.652,16.999,21,92,1766
AUS-2014,12,9,22,41.901855,35.202309,71.56635,11540,1052.974333333333,277.5973333333333,2286.289,504.5516666666667,63.4,0.13,0.102,0.257,0,0.0,5.999,17.78,8302.617,0.0,0,92,1755
AUS-2015,13,9,20,42.888756,36.130348,72.15796,11766,1117.5376666666666,280.184,2393.786,511.6526666666667,0.0,0.0,0.0,0.0,0,0.0,6.193,18.148,8584.749,18.003,23,92,1751
AUS-2016,12,9,20,43.7439,36.188747,72.43109,11972,1180.3963333333334,290.7746666666667,2523.712,535.412,0.0,0.125,0.094,0.232,0,12.4,6.361,17.408,8298.928,0.0,0,92,1738
AUS-2017,13,9,19,45.355675,35.631668,72.98743,12250,1193.372,286.8756666666667,2542.755,535.1313333333334,65.2,0.0,0.0,0.0,0,0.0,6.565,16.71,8063.4,16.624,22,92,1738
AUS-2018,13,0,18,45.727478,36.163879,73.75635,12579,1230.070333333333,286.807,2601.9595,537.9026666666667,0.0,0.133,0.096,0.237,0,0.0,0.0,0.0,0.0,0.0,0,92,1732
AUS-2019,13,0,17,47.129978,35.737366,74.30949,12867,1256.945,256.649,2570.232,489.876,0.0,0.0,0.0,0.0,0,11.2,0.0,0.0,0.0,0.0,0,92,1722
AUS-2020,12,0,16,49.337452,34.417572,72.6767,12663,1367.57,0.0,2818.9805,545.084,0.0,0.133,0.101,0.226,0,0.0,0.0,0.0,0.0,0.0,0,92,1683
AUT-1990,24,14,0,0.0,0.0,0.0,3412,394.2043333333333,0.0,744.9995,135.79533333333333,0.0,0.0,0.0,0.0,0,0.0,2.188,23.149,8187.938,0.0,0,0,0
AUT-1991,23,14,0,0.0,0.0,0.0,3471,420.127,0.0,796.779,144.3923333333333,42.0,0.0,0.0,0.0,0,0.0,2.179,23.47,8502.015,0.0,0,0,0
AUT-1992,23,13,0,0.0,0.0,0.0,3543,453.028,0.0,857.4675,151.95033333333333,0.0,0.0,0.0,0.0,0,0.0,2.189,24.158,8836.443,0.0,0,0,0
AUT-1993,22,13,0,0.0,0.0,0.0,3566,490.8746666666666,0.0,929.2525,161.96033333333332,0.0,0.0,0.0,0.0,0,0.0,2.174,25.471,9289.024,0.0,0,0,0
AUT-1994,23,12,0,0.0,0.0,0.0,3698,538.3256666666666,0.0,1013.1395,170.434,0.0,0.0,0.0,0.0,0,0.0,2.114,26.324,9793.055,0.0,0,0,0
AUT-1995,23,13,0,0.0,0.0,0.0,3729,550.647,0.0,1047.527,181.0376666666667,0.0,0.0,0.0,0.0,0,0.0,2.056,26.276,10020.406,21.487,22,0,1653
AUT-1996,23,13,0,0.0,0.0,0.0,3679,567.2013333333333,0.0,1084.7015,189.26633333333336,0.0,0.0,0.0,0.0,0,0.0,1.988,26.399,10290.137,0.0,0,0,1683
AUT-1997,20,12,0,0.0,0.0,0.0,3684,597.3663333333333,0.0,1137.099,194.033,0.0,0.0,0.0,0.0,0,24.3,1.951,25.854,10277.127,20.845,22,0,1691
AUT-1998,20,12,0,0.0,0.0,0.0,3689,637.9830000000001,0.0,1218.651,207.78433333333336,0.0,0.0,0.0,0.0,0,0.0,1.915,25.632,10542.137,0.0,0,0,1671
AUT-1999,19,12,0,0.0,0.0,68.525,3731,675.4353333333333,0.0,1289.323,217.4463333333333,46.1,0.0,0.0,0.0,0,0.0,2.016,25.954,11032.558,20.915,22,0,1675
AUT-2000,20,13,0,0.0,0.0,68.5,3741,733.491,173.06000000000003,1406.5545000000002,237.54533333333336,0.0,0.0,0.0,0.0,0,0.0,2.103,25.688,11260.88,0.0,0,0,1675
AUT-2001,18,12,0,0.0,0.0,68.375,3708,742.1750000000001,182.68133333333333,1434.1715,247.2733333333333,0.0,0.0,0.0,0.0,0,0.0,2.031,25.751,11387.954,20.59,22,0,1663
AUT-2002,19,12,0,0.0,0.0,68.75,3757,800.4340000000001,199.188,1555.208,269.7043333333333,0.0,0.0,0.0,0.0,0,0.0,1.991,26.047,11651.415,0.0,0,0,1661
AUT-2003,18,12,0,0.0,0.0,68.95,3790,821.3496666666666,208.247,1603.774,281.166,0.0,0.0,0.0,0.0,0,0.0,1.996,26.584,11950.259,21.403,22,0,1652
AUT-2004,17,12,23,24.783438,51.550304,66.525,3732,861.1560000000001,226.5196666666667,1710.3415,312.4053333333333,0.0,0.0,0.0,0.0,0,0.0,1.992,26.329,12083.068,0.0,0,0,1655
AUT-2005,16,12,23,24.639351,52.305584,67.4,3747,884.1283333333334,229.27166666666665,1742.7475,311.0366666666667,0.0,0.0,0.0,0.0,0,0.0,1.979,25.952,12094.734,21.073,22,0,1632
AUT-2006,15,12,19,25.356432,54.771961,68.575,3825,928.636,234.73233333333332,1822.2405,319.52466666666663,47.7,0.0,0.0,0.0,0,23.2,1.976,25.665,12310.184,0.0,0,0,1617
AUT-2007,15,12,20,25.092672,54.844437,69.875,3923,968.0236666666668,244.80433333333332,1902.587,333.70166666666665,0.0,0.097,0.088,0.133,0,0.0,2.043,25.086,12440.156,20.55,22,0,1606
AUT-2008,14,12,19,26.191858,54.688057,70.825,3994,1029.194,250.491,2009.5165,343.81666666666666,0.0,0.098,0.083,0.127,0,0.0,2.122,25.516,12797.534,0.0,0,0,1599
AUT-2009,14,11,18,26.895824,54.749195,70.325,3982,1051.5036666666667,252.74400000000003,2050.2175,348.6413333333333,0.0,0.11,0.086,0.116,0,0.0,2.21,27.467,13225.518,22.674,24,0,1558
AUT-2010,14,12,17,27.743721,54.608784,70.775,4016,1087.1633333333334,270.9146666666667,2134.6055,369.24,0.0,0.1,0.079,0.113,0,0.0,2.167,27.563,13484.027,0.0,0,90,1552
AUT-2011,14,11,17,27.956152,54.407017,71.1,4052,1108.07,278.2943333333333,2177.592,376.9913333333333,0.0,0.092,0.087,0.108,0,0.0,2.16,26.744,13421.883,22.054,23,90,1557
AUT-2012,14,12,17,28.739943,54.176529,71.425,4084,1169.599,292.4703333333333,2299.2715,396.582,0.0,0.104,0.089,0.113,0,0.0,2.157,27.11,13636.438,0.0,0,90,1535
AUT-2013,14,11,17,29.738844,53.233154,71.4,4104,1203.1846666666668,311.684,2388.6845,422.605,0.0,0.104,0.084,0.099,0,0.0,2.211,27.517,13761.584,22.454,24,90,1520
AUT-2014,14,12,16,29.904896,53.951103,71.075,4112,1225.788,316.3103333333333,2434.3500000000004,430.4453333333333,46.7,0.108,0.087,0.09,0,24.3,2.193,27.731,13851.207,0.0,0,90,1510
AUT-2015,13,11,15,30.550726,54.097969,71.1,4148,1247.6053333333332,321.6136666666667,2476.942,437.0226666666667,0.0,0.096,0.087,0.078,0,0.0,2.227,27.735,13855.019,22.57,24,90,1495
AUT-2016,12,11,15,31.383963,53.144444,71.55,4220,1308.099,340.3433333333333,2602.942,460.5293333333333,0.0,0.115,0.095,0.088,0,0.0,2.192,27.718,13931.845,0.0,0,90,1507
AUT-2017,12,11,15,32.39439,52.568035,72.2,4260,1338.6843333333334,346.39300000000003,2662.8695,469.8953333333334,0.0,0.115,0.088,0.097,0,0.0,2.206,27.263,13991.987,22.531,24,90,1498
AUT-2018,12,11,14,32.711426,52.586048,73.025,4319,1401.006,345.7136666666666,2764.4415,475.288,0.0,0.096,0.092,0.1,0,0.0,0.0,26.914,0.0,0.0,0,90,1502
AUT-2019,11,11,14,33.773777,51.790359,73.525,4354,1435.2003333333334,342.3196666666667,2817.2445,476.2960000000001,51.1,0.13,0.091,0.101,0,20.6,0.0,26.945,0.0,0.0,0,90,1508
AUT-2020,10,11,14,34.205894,51.452774,71.725,4296,1527.5796666666668,335.75866666666667,2947.1095,470.4936666666667,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,90,1400
BEL-1990,19,12,0,0.0,0.0,0.0,3726,0.0,0.0,654.5274999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,1.563,24.57,8152.31,0.0,0,0,1662
BEL-1991,18,11,56,19.620007,23.549244,0.0,3735,0.0,0.0,714.234,0.0,0.0,0.0,0.0,0.0,0,0.0,1.546,25.335,8527.694,0.0,0,0,1625
BEL-1992,19,11,54,20.226023,25.037067,0.0,3723,403.7426666666666,0.0,766.6774999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,1.922,24.346,8286.208,0.0,0,0,1602
BEL-1993,21,11,0,0.0,0.0,0.0,3698,414.06500000000005,0.0,795.7355,0.0,0.0,0.0,0.0,0.0,0,0.0,2.348,25.4,8528.693,0.0,0,0,1558
BEL-1994,21,11,50,22.345255,27.017561,0.0,3687,419.469,0.0,814.65,0.0,0.0,0.0,0.0,0.0,0,0.0,2.27,24.801,8570.798,0.0,0,0,1558
BEL-1995,21,11,46,24.604177,28.850407,0.0,3715,455.2226666666667,0.0,839.1335,137.533,0.0,0.0,0.0,0.0,0,0.0,2.083,25.304,8934.611,21.936,23,0,1578
BEL-1996,20,10,0,0.0,0.0,0.0,3738,488.84366666666665,0.0,887.9525,136.458,0.0,0.0,0.0,0.0,0,0.0,2.014,25.935,9260.21,0.0,0,0,1575
BEL-1997,21,10,0,0.0,0.0,0.0,3762,483.057,0.0,911.2705,157.79,41.3,0.0,0.0,0.0,0,25.5,1.935,24.929,9216.831,21.43,22,0,1582
BEL-1998,20,9,0,0.0,0.0,0.0,3810,496.06633333333326,0.0,944.7285,167.08633333333333,0.0,0.0,0.0,0.0,0,0.0,1.88,24.929,9377.167,0.0,0,0,1574
BEL-1999,18,10,0,0.0,0.0,59.3,4007,526.927,0.0,1009.8235,179.62166666666667,0.0,0.0,0.0,0.0,0,0.0,1.845,24.73,9610.42,21.307,22,0,1575
BEL-2000,20,11,41,27.084993,31.438227,60.525,4092,598.3783333333333,0.0,1153.0925,203.68333333333337,0.0,0.0,0.0,0.0,0,0.0,1.686,23.654,9510.458,0.0,0,0,1589
BEL-2001,21,11,40,27.626753,31.836805,59.95,4055,631.502,0.0,1206.182,205.9523333333333,44.5,0.0,0.0,0.0,0,24.1,1.899,24.121,9770.68,19.738,21,0,1581
BEL-2002,20,11,39,28.134819,32.668564,59.9,4069,677.0763333333333,0.0,1326.2315,240.41166666666663,0.0,0.0,0.0,0.0,0,0.0,2.013,24.502,10049.672,0.0,0,0,1594
BEL-2003,20,11,37,29.031809,33.016048,59.6,4070,744.7026666666667,208.26566666666668,1455.97,259.2776666666667,0.0,0.0,0.0,0.0,0,0.0,2.487,25.65,10585.438,21.281,23,0,1598
BEL-2004,18,12,35,30.40086,33.8909,60.35,4138,799.393,212.38066666666663,1547.766,265.7846666666666,44.1,0.0,0.0,0.0,0,23.7,2.477,25.444,10828.741,0.0,0,0,1588
BEL-2005,19,12,33,31.045088,35.051159,61.075,4235,801.7776666666667,214.27366666666668,1556.6985,269.3546666666667,0.0,0.0,0.0,0.0,0,0.0,2.406,25.311,10961.024,21.071,23,0,1578
BEL-2006,18,10,33,31.754845,35.187229,61.0,4263,822.1016666666668,222.53933333333336,1602.2455,279.39500000000004,0.0,0.0,0.0,0.0,0,0.0,2.39,25.238,11134.942,0.0,0,0,1592
BEL-2007,17,10,32,32.094864,35.858559,62.025,4379,845.4346666666667,234.1713333333333,1658.3565,293.4696666666667,0.0,0.0,0.0,0.0,0,0.0,2.136,24.984,11344.214,20.968,22,0,1594
BEL-2008,18,10,30,32.310043,37.26614,62.4,4445,923.357,242.45166666666668,1777.3404999999998,294.87,47.5,0.0,0.0,0.0,0,20.5,2.079,26.466,11976.39,0.0,0,0,1582
BEL-2009,18,10,29,33.397053,37.175842,61.6,4420,972.47,250.5573333333333,1860.8,301.39666666666665,0.0,0.0,0.0,0.0,0,0.0,2.221,28.761,12650.094,24.642,26,0,1563
BEL-2010,18,10,29,34.989502,35.51001,62.025,4488,1021.855,264.1703333333333,1959.3375,317.7036666666667,0.0,0.0,0.0,0.0,0,0.0,1.933,28.448,12753.099,0.0,0,90,1574
BEL-2011,18,10,28,34.612984,36.653725,61.925,4509,1057.851,272.0276666666667,2032.123,330.231,0.0,0.0,0.0,0.0,0,0.0,2.027,28.893,13002.645,24.844,26,90,1590
BEL-2012,17,10,28,35.316551,36.32708,61.825,4523,1109.836,279.182,2121.778,338.016,0.0,0.0,0.0,0.0,0,0.0,2.016,28.804,12977.034,0.0,0,90,1587
BEL-2013,16,10,27,35.535332,37.223022,61.8,4530,1153.742,295.6366666666667,2220.639,360.0173333333333,48.1,0.0,0.0,0.0,0,18.9,1.858,29.198,13153.542,25.234,26,90,1586
BEL-2014,16,10,26,36.855022,36.695625,61.9,4543,1194.4703333333334,301.4266666666667,2295.3195,369.0756666666666,51.0,0.0,0.0,0.0,0,0.0,1.793,29.105,13258.903,0.0,0,90,1582
BEL-2015,16,10,25,36.857422,37.819675,61.8,4551,1257.6553333333334,306.71433333333334,2409.087,381.7360000000001,0.0,0.0,0.0,0.0,0,0.0,1.886,29.517,13640.871,25.627,27,90,1575
BEL-2016,16,9,24,37.503956,37.59021,62.3,4586,1314.3173333333332,308.1603333333333,2504.8805,388.93666666666667,0.0,0.0,0.0,0.0,0,0.0,1.907,28.845,13459.599,0.0,0,90,1574
BEL-2017,14,9,23,40.257053,36.540157,63.125,4637,1346.9223333333332,312.2616666666667,2565.969,397.057,0.0,0.0,0.0,0.0,0,0.0,1.869,28.718,13602.448,25.046,26,90,1578
BEL-2018,15,9,21,40.638546,37.588238,64.45,4755,1397.7513333333336,322.21133333333336,2662.991,410.9093333333333,55.4,0.092,0.077,0.085,0,15.4,0.0,28.77,0.0,0.0,0,90,1580
BGR-1990,17,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
BGR-1991,17,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
BGR-1992,20,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
BGR-1993,18,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
BGR-1994,19,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
BGR-1995,18,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1710
BGR-1996,19,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1708
BGR-1997,19,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1706
BGR-1998,20,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1649
BGR-1999,17,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1669
BGR-2000,18,10,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1640
BGR-2001,16,11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1651
BGR-2002,17,10,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1651
BGR-2003,14,11,0,0.0,0.0,0.0,0,149.13500000000002,93.032,316.64500000000004,95.295,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1640
BGR-2004,13,11,0,0.0,0.0,0.0,0,151.829,99.62966666666668,331.2055,102.308,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1663
BGR-2005,12,10,0,0.0,0.0,0.0,0,163.38633333333334,106.00266666666668,359.0945,109.343,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1658
BGR-2006,12,10,0,0.0,0.0,0.0,0,155.64233333333334,118.37433333333333,366.3485,121.92333333333332,0.0,0.241,0.158,0.18,0,0.0,0.0,0.0,0.0,0.0,0,0,1654
