LocationTime,LOCATION,TIME,Poverty_Value_TOT
DEU-2012,DEU,2012,0.084
DEU-2013,DEU,2013,0.091
DEU-2014,DEU,2014,0.095
DEU-2015,DEU,2015,0.101
DEU-2016,DEU,2016,0.104
DEU-2017,DEU,2017,0.104
DEU-2018,DEU,2018,0.098
DEU-2019,DEU,2019,0.109
DNK-2011,DNK,2011,0.058
DNK-2012,DNK,2012,0.054
DNK-2013,DNK,2013,0.054
DNK-2014,DNK,2014,0.055
DNK-2015,DNK,2015,0.055
DNK-2016,DNK,2016,0.058
DNK-2017,DNK,2017,0.061
DNK-2018,DNK,2018,0.064
DNK-2019,DNK,2019,0.065
ESP-2007,ESP,2007,0.144
ESP-2008,ESP,2008,0.146
ESP-2009,ESP,2009,0.148
ESP-2010,ESP,2010,0.139
ESP-2011,ESP,2011,0.147
ESP-2012,ESP,2012,0.141
ESP-2013,ESP,2013,0.159
ESP-2014,ESP,2014,0.153
ESP-2015,ESP,2015,0.153
ESP-2016,ESP,2016,0.156
ESP-2017,ESP,2017,0.148
ESP-2018,ESP,2018,0.142
ESP-2019,ESP,2019,0.147
EST-2013,EST,2013,0.158
EST-2014,EST,2014,0.157
EST-2015,EST,2015,0.16
EST-2016,EST,2016,0.158
EST-2017,EST,2017,0.158
EST-2018,EST,2018,0.163
EST-2019,EST,2019,0.149
FIN-1990,FIN,1990,0.056
FIN-1991,FIN,1991,0.054
FIN-1992,FIN,1992,0.05
FIN-1993,FIN,1993,0.042
FIN-1994,FIN,1994,0.042
FIN-1995,FIN,1995,0.042
FIN-1996,FIN,1996,0.046
FIN-1997,FIN,1997,0.048
FIN-1998,FIN,1998,0.05
FIN-1999,FIN,1999,0.052
FIN-2000,FIN,2000,0.053
FIN-2001,FIN,2001,0.063
FIN-2002,FIN,2002,0.062
FIN-2003,FIN,2003,0.056
FIN-2004,FIN,2004,0.065
FIN-2005,FIN,2005,0.066
FIN-2006,FIN,2006,0.069
FIN-2007,FIN,2007,0.078
FIN-2008,FIN,2008,0.079
FIN-2009,FIN,2009,0.074
FIN-2010,FIN,2010,0.072
FIN-2011,FIN,2011,0.075
FIN-2012,FIN,2012,0.065
FIN-2013,FIN,2013,0.071
FIN-2014,FIN,2014,0.068
FIN-2015,FIN,2015,0.063
FIN-2016,FIN,2016,0.058
FIN-2017,FIN,2017,0.063
FIN-2018,FIN,2018,0.065
FIN-2019,FIN,2019,0.064
FIN-2020,FIN,2020,0.057
FRA-2012,FRA,2012,0.085
FRA-2013,FRA,2013,0.079
FRA-2014,FRA,2014,0.081
FRA-2015,FRA,2015,0.081
FRA-2016,FRA,2016,0.083
FRA-2017,FRA,2017,0.081
FRA-2018,FRA,2018,0.085
FRA-2019,FRA,2019,0.084
GBR-2002,GBR,2002,0.126
GBR-2003,GBR,2003,0.124
GBR-2004,GBR,2004,0.116
GBR-2005,GBR,2005,0.12
GBR-2006,GBR,2006,0.126
GBR-2007,GBR,2007,0.128
GBR-2008,GBR,2008,0.123
GBR-2009,GBR,2009,0.112
GBR-2010,GBR,2010,0.11
GBR-2011,GBR,2011,0.104
GBR-2012,GBR,2012,0.105
GBR-2013,GBR,2013,0.104
GBR-2014,GBR,2014,0.105
GBR-2015,GBR,2015,0.109
GBR-2016,GBR,2016,0.111
GBR-2017,GBR,2017,0.119
GBR-2018,GBR,2018,0.117
GBR-2019,GBR,2019,0.124
GBR-2020,GBR,2020,0.112
GRC-2004,GRC,2004,0.12
GRC-2005,GRC,2005,0.129
GRC-2006,GRC,2006,0.127
GRC-2007,GRC,2007,0.132
GRC-2008,GRC,2008,0.129
GRC-2009,GRC,2009,0.129
GRC-2010,GRC,2010,0.141
GRC-2011,GRC,2011,0.151
GRC-2012,GRC,2012,0.149
GRC-2013,GRC,2013,0.151
GRC-2014,GRC,2014,0.148
GRC-2015,GRC,2015,0.149
GRC-2016,GRC,2016,0.144
GRC-2017,GRC,2017,0.126
GRC-2018,GRC,2018,0.121
GRC-2019,GRC,2019,0.115
HUN-2006,HUN,2006,0.072
HUN-2007,HUN,2007,0.065
HUN-2008,HUN,2008,0.059
HUN-2009,HUN,2009,0.061
HUN-2010,HUN,2010,0.073
HUN-2011,HUN,2011,0.077
HUN-2012,HUN,2012,0.085
HUN-2013,HUN,2013,0.086
HUN-2014,HUN,2014,0.087
HUN-2015,HUN,2015,0.085
HUN-2016,HUN,2016,0.077
HUN-2017,HUN,2017,0.08
HUN-2018,HUN,2018,0.087
HUN-2019,HUN,2019,0.092
IND-2004,IND,2004,0.198
IND-2011,IND,2011,0.197
IRL-2004,IRL,2004,0.134
IRL-2005,IRL,2005,0.116
IRL-2006,IRL,2006,0.114
IRL-2007,IRL,2007,0.096
IRL-2008,IRL,2008,0.091
IRL-2009,IRL,2009,0.088
IRL-2010,IRL,2010,0.091
IRL-2011,IRL,2011,0.1
IRL-2012,IRL,2012,0.094
IRL-2013,IRL,2013,0.095
IRL-2014,IRL,2014,0.093
IRL-2015,IRL,2015,0.098
IRL-2016,IRL,2016,0.091
IRL-2017,IRL,2017,0.09
IRL-2018,IRL,2018,0.074
ISL-2004,ISL,2004,0.058
ISL-2005,ISL,2005,0.063
ISL-2006,ISL,2006,0.057
ISL-2007,ISL,2007,0.066
ISL-2008,ISL,2008,0.066
ISL-2009,ISL,2009,0.062
ISL-2010,ISL,2010,0.066
ISL-2011,ISL,2011,0.058
ISL-2012,ISL,2012,0.061
ISL-2013,ISL,2013,0.045
ISL-2014,ISL,2014,0.067
ISL-2015,ISL,2015,0.054
ISL-2016,ISL,2016,0.06
ISL-2017,ISL,2017,0.049
ISR-2011,ISR,2011,0.181
ISR-2012,ISR,2012,0.184
ISR-2013,ISR,2013,0.186
ISR-2014,ISR,2014,0.186
ISR-2015,ISR,2015,0.195
ISR-2016,ISR,2016,0.177
ISR-2017,ISR,2017,0.179
ISR-2018,ISR,2018,0.169
ISR-2019,ISR,2019,0.173
ITA-2004,ITA,2004,0.122
ITA-2005,ITA,2005,0.126
ITA-2006,ITA,2006,0.123
ITA-2007,ITA,2007,0.119
ITA-2008,ITA,2008,0.119
ITA-2009,ITA,2009,0.12
ITA-2010,ITA,2010,0.134
ITA-2011,ITA,2011,0.128
ITA-2012,ITA,2012,0.13
ITA-2013,ITA,2013,0.133
ITA-2014,ITA,2014,0.137
ITA-2015,ITA,2015,0.144
ITA-2016,ITA,2016,0.137
ITA-2017,ITA,2017,0.139
ITA-2018,ITA,2018,0.142
JPN-2018,JPN,2018,0.157
KOR-2011,KOR,2011,0.186
KOR-2012,KOR,2012,0.183
KOR-2013,KOR,2013,0.184
KOR-2014,KOR,2014,0.182
KOR-2015,KOR,2015,0.175
KOR-2016,KOR,2016,0.176
KOR-2017,KOR,2017,0.173
KOR-2018,KOR,2018,0.167
KOR-2019,KOR,2019,0.163
KOR-2020,KOR,2020,0.153
LTU-2004,LTU,2004,0.137
LTU-2005,LTU,2005,0.145
LTU-2006,LTU,2006,0.136
LTU-2007,LTU,2007,0.132
LTU-2008,LTU,2008,0.146
LTU-2009,LTU,2009,0.15
LTU-2010,LTU,2010,0.127
LTU-2011,LTU,2011,0.126
LTU-2012,LTU,2012,0.143
LTU-2013,LTU,2013,0.124
LTU-2014,LTU,2014,0.157
LTU-2015,LTU,2015,0.165
LTU-2016,LTU,2016,0.168
LTU-2017,LTU,2017,0.173
LTU-2018,LTU,2018,0.155
LTU-2019,LTU,2019,0.154
LUX-2015,LUX,2015,0.109
LUX-2016,LUX,2016,0.111
LUX-2017,LUX,2017,0.122
LUX-2018,LUX,2018,0.114
LUX-2019,LUX,2019,0.105
LVA-2004,LVA,2004,0.142
LVA-2005,LVA,2005,0.176
LVA-2006,LVA,2006,0.146
LVA-2007,LVA,2007,0.186
LVA-2008,LVA,2008,0.191
LVA-2009,LVA,2009,0.141
LVA-2010,LVA,2010,0.133
LVA-2011,LVA,2011,0.129
LVA-2012,LVA,2012,0.133
LVA-2013,LVA,2013,0.145
LVA-2014,LVA,2014,0.164
LVA-2015,LVA,2015,0.162
LVA-2016,LVA,2016,0.167
LVA-2017,LVA,2017,0.166
LVA-2018,LVA,2018,0.175
LVA-2019,LVA,2019,0.162
LVA-2020,LVA,2020,0.169
MEX-2012,MEX,2012,0.189
MEX-2014,MEX,2014,0.167
MEX-2016,MEX,2016,0.166
MEX-2018,MEX,2018,0.159
MEX-2020,MEX,2020,0.166
NLD-2011,NLD,2011,0.072
NLD-2012,NLD,2012,0.074
NLD-2013,NLD,2013,0.078
NLD-2014,NLD,2014,0.077
NLD-2015,NLD,2015,0.077
NLD-2016,NLD,2016,0.081
NLD-2017,NLD,2017,0.079
NLD-2018,NLD,2018,0.078
NLD-2019,NLD,2019,0.08
NLD-2020,NLD,2020,0.083
NOR-2004,NOR,2004,0.069
NOR-2008,NOR,2008,0.078
NOR-2009,NOR,2009,0.075
NOR-2010,NOR,2010,0.075
NOR-2011,NOR,2011,0.077
NOR-2012,NOR,2012,0.081
NOR-2013,NOR,2013,0.078
NOR-2014,NOR,2014,0.081
NOR-2015,NOR,2015,0.081
NOR-2016,NOR,2016,0.082
NOR-2017,NOR,2017,0.084
NOR-2018,NOR,2018,0.084
NOR-2019,NOR,2019,0.084
NOR-2020,NOR,2020,0.084
NZL-2006,NZL,2006,0.139
NZL-2007,NZL,2007,0.142
NZL-2008,NZL,2008,0.136
NZL-2009,NZL,2009,0.142
NZL-2010,NZL,2010,0.13
NZL-2011,NZL,2011,0.137
NZL-2012,NZL,2012,0.149
NZL-2013,NZL,2013,0.141
NZL-2014,NZL,2014,0.146
NZL-2015,NZL,2015,0.13
NZL-2016,NZL,2016,0.141
NZL-2017,NZL,2017,0.153
NZL-2018,NZL,2018,0.137
NZL-2019,NZL,2019,0.129
NZL-2020,NZL,2020,0.124
POL-2005,POL,2005,0.124
POL-2006,POL,2006,0.11
POL-2007,POL,2007,0.096
POL-2008,POL,2008,0.107
POL-2009,POL,2009,0.108
POL-2010,POL,2010,0.107
POL-2011,POL,2011,0.106
POL-2012,POL,2012,0.104
POL-2013,POL,2013,0.106
POL-2014,POL,2014,0.104
POL-2015,POL,2015,0.111
POL-2016,POL,2016,0.103
POL-2017,POL,2017,0.096
POL-2018,POL,2018,0.098
PRT-2004,PRT,2004,0.132
PRT-2005,PRT,2005,0.126
PRT-2006,PRT,2006,0.124
PRT-2007,PRT,2007,0.128
PRT-2008,PRT,2008,0.113
PRT-2009,PRT,2009,0.116
PRT-2010,PRT,2010,0.109
PRT-2011,PRT,2011,0.114
PRT-2012,PRT,2012,0.13
PRT-2013,PRT,2013,0.135
PRT-2014,PRT,2014,0.135
PRT-2015,PRT,2015,0.125
PRT-2016,PRT,2016,0.125
PRT-2017,PRT,2017,0.107
PRT-2018,PRT,2018,0.104
PRT-2019,PRT,2019,0.106
ROU-2006,ROU,2006,0.192
ROU-2007,ROU,2007,0.17
ROU-2008,ROU,2008,0.166
ROU-2009,ROU,2009,0.16
ROU-2010,ROU,2010,0.167
ROU-2011,ROU,2011,0.167
ROU-2012,ROU,2012,0.165
ROU-2013,ROU,2013,0.182
ROU-2014,ROU,2014,0.187
ROU-2015,ROU,2015,0.193
ROU-2016,ROU,2016,0.18
ROU-2017,ROU,2017,0.179
ROU-2018,ROU,2018,0.174
ROU-2019,ROU,2019,0.17
RUS-2011,RUS,2011,0.146
RUS-2016,RUS,2016,0.127
RUS-2017,RUS,2017,0.115
SVK-2004,SVK,2004,0.083
SVK-2005,SVK,2005,0.072
SVK-2006,SVK,2006,0.065
SVK-2007,SVK,2007,0.069
SVK-2008,SVK,2008,0.072
SVK-2009,SVK,2009,0.079
SVK-2010,SVK,2010,0.08
SVK-2011,SVK,2011,0.082
SVK-2012,SVK,2012,0.085
SVK-2013,SVK,2013,0.085
SVK-2014,SVK,2014,0.088
SVK-2015,SVK,2015,0.085
SVK-2016,SVK,2016,0.085
SVK-2017,SVK,2017,0.073
SVK-2018,SVK,2018,0.077
SVK-2019,SVK,2019,0.078
SVN-2004,SVN,2004,0.079
SVN-2005,SVN,2005,0.071
SVN-2006,SVN,2006,0.074
SVN-2007,SVN,2007,0.079
SVN-2008,SVN,2008,0.079
SVN-2009,SVN,2009,0.083
SVN-2010,SVN,2010,0.091
SVN-2011,SVN,2011,0.086
SVN-2012,SVN,2012,0.095
SVN-2013,SVN,2013,0.095
SVN-2014,SVN,2014,0.093
SVN-2015,SVN,2015,0.092
SVN-2016,SVN,2016,0.086
SVN-2017,SVN,2017,0.085
SVN-2018,SVN,2018,0.075
SVN-2019,SVN,2019,0.074
SWE-2013,SWE,2013,0.084
SWE-2014,SWE,2014,0.087
SWE-2015,SWE,2015,0.089
SWE-2016,SWE,2016,0.088
SWE-2017,SWE,2017,0.093
SWE-2018,SWE,2018,0.087
SWE-2019,SWE,2019,0.091
SWE-2020,SWE,2020,0.088
TUR-2011,TUR,2011,0.186
TUR-2012,TUR,2012,0.177
TUR-2013,TUR,2013,0.171
TUR-2014,TUR,2014,0.173
TUR-2015,TUR,2015,0.172
TUR-2017,TUR,2017,0.144
TUR-2018,TUR,2018,0.144
TUR-2019,TUR,2019,0.15
USA-2013,USA,2013,0.172
USA-2014,USA,2014,0.175
USA-2015,USA,2015,0.168
USA-2016,USA,2016,0.178
USA-2017,USA,2017,0.178
USA-2018,USA,2018,0.181
USA-2019,USA,2019,0.18
USA-2020,USA,2020,0.166
ZAF-2015,ZAF,2015,0.272
ZAF-2017,ZAF,2017,0.277
